Wall time,Step,Value
1677437906.128591,60000,72.20649719238281
1677437979.9359207,120000,82.22027587890625
1677438056.1219275,180000,82.13888549804688
1677438151.6885934,240000,87.67534637451172
1677438246.266068,300000,89.25257873535156
